(1.033583,-0.140616,2.110908)
(1.075642,-0.182676,1.185602)
(1.117281,-0.224315,2.110908)
(1.033583,-0.140616,1.143542)
(1.117702,-0.224735,1.185602)
(1.370058,-0.435032,1.143542)
(1.370058,-0.435032,1.017364)
(1.370058,-0.140616,1.143542)
(1.370058,0.069680,2.110908)
(1.370058,-0.140616,2.110908)
(1.370058,0.069680,1.017364)
(1.075642,0.069680,0.975305)
(1.327999,-0.435032,0.975305)
(1.075642,-0.435032,0.975305)
(1.327999,0.069680,0.975305)
(1.286360,-0.224315,2.110908)
(1.285939,-0.224735,1.185602)
(1.327999,-0.182676,1.185602)
(1.033583,0.069680,2.110908)
(1.033583,0.069680,1.017364)
(1.033583,-0.435032,1.017364)
(1.033583,-0.435032,1.143542)
(1.327999,0.111740,2.110908)
(1.327999,0.111740,1.017364)
(1.075642,0.111740,1.017364)
(1.075642,0.111740,2.110908)
(1.286360,0.111740,2.110908)
(1.117281,0.111740,2.110908)
(1.327999,-0.435032,1.185602)
(1.075642,-0.435032,1.185602)
(1.075642,-0.477091,1.143542)
(1.327999,-0.477091,1.017364)
(1.327999,-0.477091,1.143542)
(1.075642,-0.477091,1.017364)
(1.117702,-0.224735,2.110907)
(1.148857,-0.224735,2.110907)
(1.285939,-0.224735,2.110907)
